
Exercise,Primary Muscle,Secondary Muscles,Equipment ,Mechanics Type
Straight Leg Raises ,Lower Abs,,Machine,Accessory
Decline Russian Twists,Lower Abs,Obliques,Decline Bench ,Accessory
Landmine 180s,Obliques,,Landmine Barbell ,Accessory
Seated Rope Crunch,Upper Abs,,Machine,Accessory
Sit-ups,Lower Abs,,Body Weight,Accessory
Exercise,Primary Muscle,Secondary Muscles,Equipment,Mechanics Type
Straight Leg Raises ,Lower abs,,Machine,Accessory
Decline Russian Twists,Lower abs,Obliques,Decline Bench,Accessory
Landmine 180s,Obliques,,Landmine Barbell,Accessory
Seated Rope Crunch,Upper Abs,,Machine,Accessory
