Exercise,Primary Muscle,Secondary Muscles,Equipment ,Mechanics Type
Barbell Bench Press,Chest,Triceps:Shoulders,Barbell,Compound
Incline Barbell Bench Press,Chest,Triceps:Shoulders,Barbell,Compound
Decline Barbell Bench Press,Chest,Triceps:Shoulders,Barbell,Compound
Landmine Press,Chest,Triceps:Shoulders,Barbell - Landmine,Compound
Incline Cable Butterfly ,Chest,,Cable - Handle Attachments,Accessory
Decline Dumbbell Bench Press,Chest,Triceps:Shoulders,Dumbbell,Compound
Decline Cable Butterfly,Chest,,Cable - Handle Attachments,Accessory
Cable Butterfly,Chest,,Cable - Handle Attachments,Accessory
Dumbbell Pullover,Chest,Lats,Dumbbell,Compound
Dumbbell Bench Press,Chest,Triceps:Shoulders,Dumbbell,Compound
Hammer Machine Chest Press,Chest,Triceps:Shoulders,Machine,Compound
Push-Ups,Chest,Biceps,Bodyweight,Compound
Incline Dumbbell Fly,Chest,,Dumbbell,Accessory
Flat Dumbbell Fly,Chest,,Dumbbell,Accessory
