Exercise,Primary Muscle,Secondary Muscles,Equipment ,Mechanics Type
Seated Dumbell Military Press,Shoulders,Triceps,Dumbbell,Compound
Upright Dumbbell Row,Shoulders,Triceps,Dumbbell,Compound
Side Dumbell Lateral,Shoulders,,Dumbbell,Accessory
Front Dumbbell Lateral ,Shoulders,,Dumbbell,Accessory
Cable Rear Delt Fly,Shoulders,,Cable,Accessory
Standing Barbell Military Press,Shoulders,Triceps,Barbell,Compound
Reverse Grip Barbell Fly,Shoulders,,Barbell,Accessory
Face Pulls,Shoulders,,Cable - Rope Attachment,Accessory
Hammer Machine Shoulder Press ,Shoulders,Triceps,Machine,Compound
Cable Front Lateral,Shoulders,,Cable - Handle Attachment,Accessory
Barbell Seated Military Press,Shoulders,Triceps,Barbell,Compound
Around the World Fly,Shoulders,,Dumbbell,Accessory
